sample_name,pop,country,sex,stage,latitude,longitude,collector,catching_method,host_plant_genus,date,notes,,,
BIM10,Bimon,Spain,M,adult,42.980233,-3.970367,AndreaEstandia_KepaAlkiza,lobster_pot_trap,,,,,,
BIM11,Bimon,Spain,F,adult,42.980233,-3.970367,AndreaEstandia_KepaAlkiza,lobster_pot_trap,,,,,,
BIM12,Bimon,Spain,F,adult,42.980233,-3.970367,AndreaEstandia_KepaAlkiza,lobster_pot_trap,,,,,,
BIM14,Bimon,Spain,F,adult,42.980233,-3.970367,AndreaEstandia_KepaAlkiza,lobster_pot_trap,,,,,,
BIM16,Bimon,Spain,M,adult,42.980233,-3.970367,AndreaEstandia_KepaAlkiza,lobster_pot_trap,,,,,,
BIM17,Bimon,Spain,M,adult,42.980233,-3.970367,AndreaEstandia_KepaAlkiza,lobster_pot_trap,,,,,,
ARI14,Arija,Spain,F,adult,42.988657,-3.948846,AndreaEstandia_KepaAlkiza,by_hand,,,,,,
ARI2,Arija,Spain,M,adult,42.988657,-3.948846,AndreaEstandia_KepaAlkiza,by_hand,,,,,,
ARI30,Arija,Spain,F,adult,42.988657,-3.948846,AndreaEstandia_KepaAlkiza,by_hand,,,,,,
ARI40,Arija,Spain,M,adult,42.988657,-3.948846,AndreaEstandia_KepaAlkiza,by_hand,,,,,,
ARI58,Arija,Spain,M,adult,42.988657,-3.948846,AndreaEstandia_KepaAlkiza,by_hand,,,,,,
ARI64,Arija,Spain,F,adult,42.988657,-3.948846,AndreaEstandia_KepaAlkiza,by_hand,,,,,,
BEL10,Belerda,Spain,M,adult,43.16117147,-5.313536299,SergioSolano,by_hand,,,,,,
BEL15,Belerda,Spain,M,adult,43.16117147,-5.313536299,SergioSolano,by_hand,,,,,,
BEL19,Belerda,Spain,M,adult,43.16117147,-5.313536299,SergioSolano,by_hand,,,,,,
BEL2,Belerda,Spain,M,adult,43.16117147,-5.313536299,SergioSolano,by_hand,,,,,,
BEL22,Belerda,Spain,M,adult,43.16117147,-5.313536299,SergioSolano,by_hand,,,,,,
BEL3,Belerda,Spain,M,adult,43.16117147,-5.313536299,SergioSolano,by_hand,,,,,,
BOS1,Bostronizo,Spain,M,adult,43.21362067,-4.067021691,AndreaEstandia,pheromone_trap,,,,,,
CIE1,Cieza,Spain,M,adult,43.219317,-4.08665,AndreaEstandia,pheromone_trap,,,,,,
CIE10,Cieza,Spain,M,adult,43.219317,-4.08665,AndreaEstandia,pheromone_trap,,,,,,
CIE17,Cieza,Spain,M,adult,43.219317,-4.08665,AndreaEstandia,pheromone_trap,,,,,,
CIE2,Cieza,Spain,M,adult,43.219317,-4.08665,AndreaEstandia,pheromone_trap,,,,,,
CIE20,Cieza,Spain,M,adult,43.219317,-4.08665,AndreaEstandia,pheromone_trap,,,,,,
CIE7,Cieza,Spain,M,adult,43.219317,-4.08665,AndreaEstandia,pheromone_trap,,,,,,
UCI1,Ucieda,Spain,M,adult,43.250683,-4.245317,AndreaEstandia,pheromone_trap,,,,,,
UCI2,Ucieda,Spain,M,adult,43.250683,-4.245317,AndreaEstandia,pheromone_trap,,,,,,
UCI3,Ucieda,Spain,M,adult,43.250683,-4.245317,AndreaEstandia,pheromone_trap,,,,,,
UCI4,Ucieda,Spain,M,adult,43.250683,-4.245317,AndreaEstandia,pheromone_trap,,,,,,
NEA_M6,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
NEA_M7,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
NEA_M8,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
NEA_M9,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
NEA_M10,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
NEA_M13,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
NEA_M14,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
NEA_M15,Devon,UK,M,adult,50.625213,-3.76004,Malcolm_Burgess,by_hand,,,,,,
A_14291_1,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
A_14291_2,Wytham,UK,NA,larval,51.77747,-1.3363,RonaLearmonth_LucyMorley,branch_cutting,,,,,,
